probe_id,mirna_name
aly-miR4246_st,aly-miR4246
aly-miR4247_st,aly-miR4247
aly-miR4248a_st,aly-miR4248a
aly-miR4248b_st,aly-miR4248b
aly-miR4248c_st,aly-miR4248c
aly-miR4249_st,aly-miR4249
aly-miR4250_st,aly-miR4250
aly-miR472-star_st,aly-miR472-star
aly-miR472_st,aly-miR472
aly-miR771-star_st,aly-miR771-star
aly-miR771_st,aly-miR771
aly-miR773b-star_st,aly-miR773b-star
aly-miR773b_st,aly-miR773b
aly-miR774.1-star_st,aly-miR774.1-star
aly-miR774.1_st,aly-miR774.1
aly-miR774.2-star_st,aly-miR774.2-star
aly-miR774.2_st,aly-miR774.2
aly-miR774b-star_st,aly-miR774b-star
aly-miR774b_st,aly-miR774b
aly-miR781-star_st,aly-miR781-star
aly-miR781_st,aly-miR781
aly-miR822-star_st,aly-miR822-star
aly-miR822_st,aly-miR822
aly-miR823-star_st,aly-miR823-star
aly-miR823_st,aly-miR823
aly-miR824-star_st,aly-miR824-star
aly-miR824_st,aly-miR824
aly-miR825-star_st,aly-miR825-star
aly-miR825_st,aly-miR825
aly-miR827-star_st,aly-miR827-star
aly-miR827_st,aly-miR827
aly-miR828-star_st,aly-miR828-star
aly-miR828_st,aly-miR828
aly-miR829-star_st,aly-miR829-star
aly-miR829_st,aly-miR829
aly-miR831-star_st,aly-miR831-star
aly-miR831_st,aly-miR831
aly-miR833-3p_st,aly-miR833-3p
aly-miR833-5p_st,aly-miR833-5p
aly-miR834-star_st,aly-miR834-star
aly-miR834_st,aly-miR834
aly-miR835-3p_st,aly-miR835-3p
aly-miR835-5p_st,aly-miR835-5p
aly-miR837-3p_st,aly-miR837-3p
aly-miR837-5p_st,aly-miR837-5p
aly-miR838-star_st,aly-miR838-star
aly-miR838_st,aly-miR838
aly-miR839-star_st,aly-miR839-star
aly-miR839_st,aly-miR839
aly-miR840-star_st,aly-miR840-star
aly-miR840_st,aly-miR840
aly-miR841_st,aly-miR841
aly-miR842-star_st,aly-miR842-star
aly-miR842_st,aly-miR842
aly-miR844-star_st,aly-miR844-star
aly-miR844_st,aly-miR844
aly-miR845a-star_st,aly-miR845a-star
aly-miR845a_st,aly-miR845a
aly-miR845b-star_st,aly-miR845b-star
aly-miR845b_st,aly-miR845b
aly-miR846-star_st,aly-miR846-star
aly-miR846_st,aly-miR846
aly-miR847-star_st,aly-miR847-star
aly-miR847_st,aly-miR847
aly-miR848-star_st,aly-miR848-star
aly-miR848_st,aly-miR848
aly-miR851-star_st,aly-miR851-star
aly-miR851_st,aly-miR851
aly-miR852-star_st,aly-miR852-star
aly-miR852_st,aly-miR852
aly-miR853-star_st,aly-miR853-star
aly-miR853_st,aly-miR853
aly-miR856-star_st,aly-miR856-star
aly-miR856_st,aly-miR856
aly-miR857-star_st,aly-miR857-star
aly-miR857_st,aly-miR857
aly-miR858-star_st,aly-miR858-star
aly-miR858_st,aly-miR858
aly-miR859-star_st,aly-miR859-star
aly-miR859_st,aly-miR859
aly-miR860-star_st,aly-miR860-star
aly-miR860_st,aly-miR860
aly-miR861-3p_st,aly-miR861-3p
aly-miR861-5p_st,aly-miR861-5p
aly-miR862-3p_st,aly-miR862-3p
aly-miR862-5p_st,aly-miR862-5p
aly-miR868-star_st,aly-miR868-star
aly-miR868_st,aly-miR868
aly-miR869-star_st,aly-miR869-star
aly-miR869_st,aly-miR869
ame-miR-1000_st,ame-miR-1000
ame-miR-1006_st,ame-miR-1006
ame-miR-100_st,ame-miR-100
ame-miR-10_st,ame-miR-10
ame-miR-1175_st,ame-miR-1175
ame-miR-11_st,ame-miR-11
ame-miR-124_st,ame-miR-124
ame-miR-125_st,ame-miR-125
ame-miR-12_st,ame-miR-12
ame-miR-133_st,ame-miR-133
ame-miR-137_st,ame-miR-137
ame-miR-13a_st,ame-miR-13a
ame-miR-13b_st,ame-miR-13b
ame-miR-14_st,ame-miR-14
ame-miR-184_st,ame-miR-184
ame-miR-190_st,ame-miR-190
ame-miR-193_st,ame-miR-193
ame-miR-1_st,ame-miR-1
ame-miR-210_st,ame-miR-210
ame-miR-219_st,ame-miR-219
ame-miR-252_st,ame-miR-252
ame-miR-263b_st,ame-miR-263b
ame-miR-263_st,ame-miR-263
ame-miR-275_st,ame-miR-275
ame-miR-276_st,ame-miR-276
ame-miR-277_st,ame-miR-277
ame-miR-2788_st,ame-miR-2788
ame-miR-278_st,ame-miR-278
ame-miR-2796_st,ame-miR-2796
ame-miR-279b_st,ame-miR-279b
ame-miR-279c_st,ame-miR-279c
ame-miR-279_st,ame-miR-279
ame-miR-281_st,ame-miR-281
ame-miR-282_st,ame-miR-282
ame-miR-283_st,ame-miR-283
ame-miR-2944_st,ame-miR-2944
ame-miR-29b_st,ame-miR-29b
ame-miR-2_st,ame-miR-2
ame-miR-3049_st,ame-miR-3049
ame-miR-305_st,ame-miR-305
ame-miR-306_st,ame-miR-306
ame-miR-307_st,ame-miR-307
ame-miR-315_st,ame-miR-315
ame-miR-316_st,ame-miR-316
ame-miR-317_st,ame-miR-317
ame-miR-318_st,ame-miR-318
ame-miR-31a_st,ame-miR-31a
ame-miR-33_st,ame-miR-33
ame-miR-3477_st,ame-miR-3477
ame-miR-34_st,ame-miR-34
ame-miR-3715_st,ame-miR-3715
ame-miR-3716a_st,ame-miR-3716a
ame-miR-3716b_st,ame-miR-3716b
ame-miR-3717_st,ame-miR-3717
ame-miR-3718a_st,ame-miR-3718a
ame-miR-3718b_st,ame-miR-3718b
ame-miR-3719_st,ame-miR-3719
ame-miR-3720_st,ame-miR-3720
ame-miR-3721_st,ame-miR-3721
ame-miR-3722_st,ame-miR-3722
ame-miR-3723_st,ame-miR-3723
ame-miR-3724_st,ame-miR-3724
ame-miR-3725_st,ame-miR-3725
ame-miR-3726_st,ame-miR-3726
ame-miR-3727_st,ame-miR-3727
ame-miR-3728_st,ame-miR-3728
ame-miR-3729_st,ame-miR-3729
