fluid,mirna,specificity_score,detection_rate,fluid_min,fluid_max,other_max
vaginal,hsa-miR-744-3p,0.0,1.0,-2.7341594847506427,-2.3072046726239703,-2.0572046726239703
vaginal,hsa-miR-744-5p,0.0,1.0,-9.934014768059424,-9.703955809604576,-8.913276284215224
vaginal,hsa-miR-758-3p,0.0,1.0,-3.499911934132093,-3.1998204053804806,-3.0960610305607696
vaginal,hsa-miR-758-5p,0.0,1.0,-8.02330930143285,-7.9622799120628915,-7.496003588163957
vaginal,hsa-miR-759,0.0,1.0,-3.997176718429429,-3.221042629777109,-1.688721875540867
vaginal,hsa-miR-760,0.0,1.0,-6.004118150562005,-6.003368751142467,-4.77778901293634
vaginal,hsa-miR-761,0.0,1.0,-8.409909572958437,-8.035657812602562,-6.978991772364461
vaginal,hsa-miR-762,0.0,1.0,-6.483432927685434,-5.025121313888027,-4.891202510731086
vaginal,hsa-miR-764,0.0,1.0,-8.20115949534842,-8.179297090503148,-5.730642199194109
vaginal,hsa-miR-765,0.0,1.0,-7.819935014598176,-7.543723633714168,-6.2128491944861075
vaginal,hsa-miR-766-3p,0.0,1.0,-6.40044261210663,-6.298483047867043,-5.810851903939182
vaginal,hsa-miR-766-5p,0.0,1.0,-5.6711597638952,-5.309200194594445,-5.127165346004057
vaginal,hsa-miR-767-3p,0.0,1.0,-3.7787812384870767,-3.4154445244429965,-2.915444524442997
vaginal,hsa-miR-767-5p,0.0,1.0,-8.147575229340223,-7.908047153268816,-8.164536207568087
vaginal,hsa-miR-769-3p,0.0,1.0,-6.294589260781261,-6.192784301507242,-5.587595741286173
vaginal,hsa-miR-769-5p,0.0,1.0,-5.4507584390957575,-5.199029315411613,-5.224408194728749
vaginal,hsa-miR-770-5p,0.0,1.0,-0.9767226489021296,-0.646240625180289,-0.3962406251802891
vaginal,hsa-miR-802,0.0,1.0,-4.064346960673163,-3.8303939578539334,-2.410964047443681
vaginal,hsa-miR-873-3p,0.0,1.0,-1.396240625180289,-0.896240625180289,-0.25
vaginal,hsa-miR-873-5p,0.0,1.0,-7.183079592349083,-6.450929911168734,-4.249911934132093
vaginal,hsa-miR-874-3p,0.0,0.0,-12.49509638883157,-12.181282822973689,-11.187425180621084
vaginal,hsa-miR-874-5p,0.0,1.0,-5.668197711285043,-5.61963506662738,-5.705241350916699
vaginal,hsa-miR-875-3p,0.0,1.0,-4.373901307797696,-4.127579009298651,-3.0572046726239703
vaginal,hsa-miR-875-5p,0.0,1.0,-1.9767226489021297,-1.792481250360578,-0.25
vaginal,hsa-miR-876-3p,0.0,1.0,-2.57480200459682,-2.3072046726239703,-1.646240625180289
vaginal,hsa-miR-876-5p,0.0,1.0,-5.977404431267216,-5.494672029473181,-2.6733717393748315
vaginal,hsa-miR-877-3p,0.0,1.0,-9.873948956469498,-9.363971276810158,-9.287207272301297
vaginal,hsa-miR-877-5p,0.0,1.0,-9.052593333640408,-8.958352614740509,-9.003927922616345
vaginal,hsa-miR-885-3p,0.0,1.0,-5.663843591588356,-4.778676420548334,-4.58103744376989
vaginal,hsa-miR-885-5p,0.0,1.0,-5.964801793194293,-5.857662904766394,-5.100790203035437
vaginal,hsa-miR-887-3p,0.0,1.0,-5.118533425221989,-4.986360959094478,-4.375956434498938
vaginal,hsa-miR-888-3p,0.0,1.0,-0.5,-0.25,-0.25
vaginal,hsa-miR-888-5p,0.0,1.0,-2.57480200459682,-2.542481250360578,-1.5
vaginal,hsa-miR-889-3p,0.0,1.0,-5.135697515388725,-5.063461871246851,-3.430167946706389
vaginal,hsa-miR-890,0.0,1.0,-8.086619989399193,-8.085855403365342,-7.540801423786158
vaginal,hsa-miR-891a-5p,0.0,0.0,-11.48570162564369,-10.874725142089751,-10.38273782500758
vaginal,hsa-miR-891b,0.0,1.0,-3.195339928381165,-3.1573391550199026,-1.160964047443681
vaginal,hsa-miR-892a,0.0,1.0,-6.430583171212653,-6.247615203920495,-6.0373921294474036
vaginal,hsa-miR-892b,0.0,1.0,-7.985463613186171,-7.714526827713665,-4.400094388276961
vaginal,hsa-miR-9-3p,0.0,1.0,-7.536508224886257,-7.391787669998216,-6.957798199151894
vaginal,hsa-miR-9-5p,0.0,1.0,-2.782320754236242,-1.9767226489021297,-0.646240625180289
vaginal,hsa-miR-920,0.0,1.0,-8.791046657141992,-8.252972663733976,-8.38311180261668
vaginal,hsa-miR-921,0.0,1.0,-9.182653023432392,-8.924989767630771,-7.841742462333038
vaginal,hsa-miR-922,0.0,1.0,-4.5685490325948015,-3.941994375400978,-3.5535797802001916
vaginal,hsa-miR-924,0.0,1.0,-2.9943199808749794,-2.640560606055268,-2.160964047443681
vaginal,hsa-miR-92a-1-5p,0.0,1.0,-5.611296409986377,-5.2157168401885805,-3.897178658895566
vaginal,hsa-miR-92a-2-5p,0.0,1.0,-8.484042505295312,-7.975848351753894,-6.113148542986563
vaginal,hsa-miR-92a-3p,0.0,1.0,-5.302275275539331,-4.458685654027592,-4.801953771646205
vaginal,hsa-miR-92b-3p,0.0,1.0,-8.876544759108315,-8.504883594148756,-7.894078639964584
vaginal,hsa-miR-92b-5p,0.0,1.0,-6.559336717529286,-5.619059976580963,-4.46498074321544
vaginal,hsa-miR-93-3p,0.0,1.0,-4.021865710312585,-1.84807935569469,-2.376948660049674
vaginal,hsa-miR-93-5p,0.0,1.0,-5.36406052532292,-3.714543827643873,-4.3506864056239225
vaginal,hsa-miR-933,0.0,1.0,-7.657162641999816,-7.606219567119882,-6.560100595440958
vaginal,hsa-miR-934,0.0,1.0,-8.879982204186287,-8.752023611030427,-8.286645515905366
vaginal,hsa-miR-935,0.0,1.0,-7.028395204668598,-6.408070028191604,-6.294474400655404
vaginal,hsa-miR-936,0.0,1.0,-8.217738997353372,-8.121418231025393,-7.522132877434608
vaginal,hsa-miR-937-3p,0.0,1.0,-8.888904698169299,-8.367851857074625,-8.010685789960391
vaginal,hsa-miR-938,0.0,1.0,-8.03524428942689,-7.93418200841225,-6.60031062802869
vaginal,hsa-miR-939-5p,0.0,1.0,-2.1229632740824185,-2.0572046726239703,-1.25
vaginal,hsa-miR-940,0.0,1.0,-6.584730861268113,-6.544328563953654,-6.214694077077507
vaginal,hsa-miR-941,0.0,1.0,-5.187518897625285,-4.925543171341387,-5.891838719570186
vaginal,hsa-miR-942-5p,0.0,1.0,-4.91831605287746,-3.5486507437894916,-3.3183032024635835
vaginal,hsa-miR-943,0.0,1.0,-8.906779520212897,-8.664397118372932,-9.118091122501156
vaginal,hsa-miR-944,0.0,1.0,-5.713132186858587,-5.491151847098105,-4.742149825067285
vaginal,hsa-miR-95-3p,0.0,1.0,-3.2517568167234923,-2.4285613794165304,-0.896240625180289
vaginal,hsa-miR-95-5p,0.0,1.0,-1.4387218755408673,-0.646240625180289,0.25
vaginal,hsa-miR-96-3p,0.0,1.0,-3.855713298986066,-3.753897320099348,-2.3876866963458108
vaginal,hsa-miR-96-5p,0.0,1.0,-4.339525426860212,-2.653677461028802,-3.2554185107145925
vaginal,hsa-miR-98-3p,0.0,1.0,-1.6842413985415514,-0.646240625180289,-0.3962406251802891
vaginal,hsa-miR-98-5p,0.0,1.0,-3.8921671733451264,-1.9767226489021297,-2.630400109930932
vaginal,hsa-miR-99a-3p,0.0,1.0,-5.425688174147323,-5.05201094884357,-3.475028015744364
vaginal,hsa-miR-99a-5p,0.0,1.0,-7.213497550916364,-6.736264686196592,-6.6390584048486465
vaginal,hsa-miR-99b-3p,0.0,1.0,-9.268098589715889,-9.127937633593536,-9.346935543330748
vaginal,hsa-miR-99b-5p,0.0,0.0,-10.825428501844232,-10.573344847772496,-9.465529522653949
vaginal,hsa-miRPlus-A1015,0.0,0.0,-11.003099807259971,-10.185729444025126,-9.654952471052349
vaginal,hsa-miRPlus-A1025,0.0,1.0,-1.9767226489021297,-1.5,-0.646240625180289
vaginal,hsa-miRPlus-A1031,0.0,1.0,-2.57480200459682,-2.4841594847506427,-2.153677461028802
vaginal,hsa-miRPlus-A1072,0.0,0.0,-11.978349057650144,-11.534121423356916,-11.327239009060676
vaginal,hsa-miRPlus-A1073,0.0,1.0,-5.545844634373928,-5.347109446452952,-5.187604782554902
vaginal,hsa-miRPlus-A1083,0.0,1.0,-3.1091778855343035,-2.744319980874979,-2.4841594847506427
vaginal,hsa-miRPlus-A1086,0.0,1.0,-5.192794983410564,-5.187965276098379,-4.4022658202435165
vaginal,hsa-miRPlus-A1087,0.0,1.0,-5.831420514866008,-5.6637498912852315,-4.020204381902081
vaginal,hsa-miRPlus-B1114,0.0,1.0,-8.775038180640728,-8.527032818558173,-7.414474615201258
vaginal,hsa-miRPlus-C1066,0.0,1.0,-6.290543658088029,-5.658195673961354,-5.555793031838685
vaginal,hsa-miRPlus-C1076,0.0,1.0,-9.89436272738916,-9.769414964873231,-8.974393986141354
vaginal,hsa-miRPlus-C1100,0.0,1.0,-7.610247628861358,-7.207014983355799,-4.855832332554116
vaginal,hsa-miRPlus-C1110,0.0,1.0,-5.776180398405179,-5.545131487804025,-4.604166399983864
vaginal,hsa-miRPlus-D1058,0.0,1.0,-4.087462841250339,-3.9534452978042594,-3.453445297804259
vaginal,hsa-miRPlus-G1065-5p,0.0,1.0,-4.667313832683508,-4.594005903859527,-3.2868012312355575
vaginal,hsa-miRPlus-G1246-3p,0.0,1.0,-7.128100478535206,-7.080774928795297,-6.463427162915921
vaginal,hsa-miRPlus-J1005,0.0,1.0,-5.9852961187359455,-5.805647141624982,-3.5090434031383713
vaginal,hsa-miRPlus-K1303*,0.0,1.0,-8.476780496718497,-8.12817847647378,-7.632987808354972
vaginal,hsv1-miR-H1-3p,0.0,1.0,-4.905713146465915,-4.75336338401335,-4.867104304936251
vaginal,hsv1-miR-H1-5p,0.0,1.0,-9.112315942158752,-7.699268582758231,-5.761588004143507
vaginal,hsv1-miR-H11/hsv2-miR-H11-3p,0.0,1.0,-7.635045694076634,-7.038491162229602,-5.426688656786697
vaginal,hsv1-miR-H12,0.0,1.0,-5.802445511864323,-5.698381479479382,-4.061699064237597
vaginal,hsv1-miR-H13,0.0,1.0,-5.876148503604509,-5.407853110590589,-4.749199048024948
vaginal,hsv1-miR-H14-3p,0.0,1.0,-8.162728527191451,-7.881860594951123,-7.730917262410225
vaginal,hsv1-miR-H14-5p,0.0,1.0,-2.9629372603540145,-2.3628027779580822,-1.5849625007211563
vaginal,hsv1-miR-H15,0.0,1.0,-7.460120071691008,-7.214658607160904,-6.211785752115326
vaginal,hsv1-miR-H16,0.0,1.0,-4.830488077460346,-3.92654305428261,-3.8460610305607696
vaginal,hsv1-miR-H17,0.0,1.0,-9.41462487413142,-9.19520153177335,-8.345362882266581
vaginal,hsv1-miR-H18,0.0,0.0,-10.840602341352623,-10.774324299919629,-9.905104992946312
vaginal,hsv1-miR-H2-3p,0.0,1.0,-9.3685375916838,-9.349657878869031,-7.573002663663863
vaginal,hsv1-miR-H2-5p,0.0,1.0,-7.513096070002565,-7.484708470572608,-6.64162447618795
vaginal,hsv1-miR-H3-3p,0.0,1.0,-4.992301655741058,-4.950427089729116,-4.5559391576134605
vaginal,hsv1-miR-H3-5p,0.0,0.0,-11.249638463356153,-10.833250638399637,-8.22473882931374
vaginal,hsv1-miR-H4-3p,0.0,1.0,-8.57245198613079,-8.558313576837657,-8.840955735840726
vaginal,hsv1-miR-H4-5p,0.0,1.0,-7.815208671878728,-7.783120162519117,-5.599419702625381
vaginal,hsv1-miR-H5-3p,0.0,1.0,-7.132221998547027,-7.02241200898866,-6.260699559661078
